MONTH_KEY	DIST_KEY	PROD_KEY	TARGET
202307	76	8	70550
202307	76	13	32035
202307	76	29	34560
202307	76	35	19588
202307	76	10	51688
202307	76	16	21275
202307	76	28	25043
202307	76	37	15075
202307	76	31	20761
202307	76	11	13952
202307	76	27	55110
202307	76	9	10221
202307	76	25	85238
202307	76	5	12094
202307	76	1	5962
202307	76	19	126394
202307	76	4	116299
202307	76	24	54687
202307	76	34	34649
202307	76	7	86395
202307	76	14	57432
202307	76	36	54797
202307	76	3	36446
202307	76	18	46900
202307	76	33	26959
202307	76	21	89446
202307	76	38	61717
202307	76	6	42721
202307	76	40	10843
202307	76	12	29404
202307	76	32	21746
202307	76	26	50262
202307	76	20	42395
202307	76	23	22471
202307	76	17	26370
202307	76	2	76395
202307	76	39	52994
202307	76	30	71219
202307	76	22	39615
202307	76	15	12423
202307	24	11	24394
202307	24	12	14868
202307	24	27	44526
202307	24	3	65276
202307	24	34	75818
202307	24	7	90242
202307	24	26	73578
202307	24	38	63355
202307	24	9	20805
202307	24	40	15997
202307	24	5	20239
202307	24	30	62437
202307	24	15	7061
202307	24	29	21551
202307	24	36	60469
202307	24	25	87555
202307	24	8	39210
202307	24	31	17667
202307	24	28	14233
202307	24	17	14806
202307	24	18	41828
202307	24	14	56263
202307	24	10	139350
202307	24	24	66033
202307	24	19	62394
202307	24	37	5416
202307	24	23	18200
202307	24	39	72913
202307	24	13	45820
202307	24	21	64911
202307	24	35	13318
202307	24	32	24068
202307	24	2	39218
202307	24	20	86858
202307	24	6	80095
202307	24	1	7200
202307	24	16	19481
202307	24	33	17767
202307	24	22	97196
202307	24	4	100300
202307	44	12	23298
202307	44	37	9933
202307	44	4	103627
202307	44	35	20856
202307	44	23	12578
202307	44	21	59925
202307	44	30	42917
202307	44	32	23238
202307	44	11	21765
202307	44	38	53302
202307	44	20	47807
202307	44	14	43978
202307	44	18	53748
202307	44	27	41140
202307	44	17	15374
202307	44	19	95265
202307	44	34	70326
202307	44	25	59875
202307	44	10	100058
202307	44	22	111192
202307	44	29	29854
202307	44	3	29167
202307	44	36	51281
202307	44	24	89897
202307	44	39	57820
202307	44	33	44919
202307	44	2	65663
202307	44	15	8458
202307	44	13	32078
202307	44	7	114099
202307	44	6	41906
202307	44	8	70208
202307	44	40	12021
202307	44	31	29309
202307	44	1	8288
202307	44	9	14945
202307	44	28	39065
202307	44	26	39288
202307	44	5	16616
202307	44	16	31865
202307	176	37	9453
202307	176	36	60448
202307	176	2	25299
202307	176	39	41377
202307	176	33	26680
202307	176	13	43784
202307	176	23	11851
202307	176	4	96415
202307	176	32	13781
202307	176	12	26247
202307	176	6	57078
202307	176	1	5348
202307	176	34	32193
202307	176	40	11704
202307	176	31	18463
202307	176	14	53984
202307	176	16	22923
202307	176	9	23388
202307	176	5	8063
202307	176	3	35343
202307	176	7	96206
202307	176	29	28466
202307	176	24	75113
202307	176	8	76681
202307	176	11	11850
202307	176	18	26190
202307	176	15	5230
202307	176	19	85295
202307	176	21	32442
202307	176	27	57070
202307	176	35	11426
202307	176	17	19084
202307	176	30	36974
202307	176	28	25987
202307	176	20	40456
202307	176	25	69472
202307	176	26	59544
202307	176	22	72217
202307	176	10	41445
202307	176	38	49161
202307	108	38	61739
202307	108	37	11800
202307	108	39	41884
202307	108	3	40297
202307	108	2	75419
202307	108	40	9292
202307	108	13	50501
202307	108	30	33791
202307	108	14	34161
202307	108	6	66606
202307	108	19	89415
202307	108	12	18464
202307	108	27	81642
202307	108	7	51902
202307	108	15	8879
202307	108	35	23724
202307	108	17	23644
202307	108	9	21530
202307	108	33	60705
202307	108	29	46872
202307	108	24	59077
202307	108	26	62853
202307	108	23	8916
202307	108	32	24770
202307	108	16	31090
202307	108	34	86107
202307	108	10	50109
202307	108	25	94516
202307	108	28	25531
202307	108	22	69752
202307	108	36	64388
202307	108	1	5382
202307	108	21	54781
202307	108	8	74879
202307	108	11	21544
202307	108	4	90685
202307	108	18	20997
202307	108	20	44738
202307	108	31	27597
202307	108	5	18044
202307	264	34	57671
202307	264	9	20423
202307	264	35	12721
202307	264	2	83654
202307	264	21	55787
202307	264	29	39538
202307	264	14	50037
202307	264	32	31791
202307	264	22	45650
202307	264	24	69076
202307	264	38	54719
202307	264	16	25832
202307	264	7	110920
202307	264	19	82305
202307	264	3	48606
202307	264	39	47745
202307	264	17	25732
202307	264	18	45189
202307	264	12	14721
202307	264	8	106542
202307	264	11	21430
202307	264	36	75090
202307	264	23	20121
202307	264	4	75015
202307	264	20	46969
202307	264	31	24468
202307	264	40	10333
202307	264	27	58628
202307	264	1	10166
202307	264	15	13935
202307	264	13	32079
202307	264	30	86669
202307	264	37	6255
202307	264	26	64140
202307	264	10	62396
202307	264	6	74116
202307	264	5	14076
202307	264	28	24487
202307	264	25	120888
202307	264	33	37557
202307	96	7	150762
202307	96	5	28638
202307	96	26	92210
202307	96	8	110975
202307	96	1	8854
202307	96	36	117617
202307	96	35	42543
202307	96	17	41618
202307	96	32	70622
202307	96	6	92638
202307	96	10	107987
202307	96	27	114664
202307	96	19	132678
202307	96	9	33039
202307	96	2	132769
202307	96	21	98822
202307	96	24	77131
202307	96	23	19471
202307	96	28	45070
202307	96	18	94827
202307	96	20	80799
202307	96	3	37073
202307	96	33	51950
202307	96	39	115899
202307	96	31	20379
202307	96	22	138326
202307	96	13	81264
202307	96	12	27302
202307	96	37	22350
202307	96	38	80314
202307	96	30	76216
202307	96	40	18312
202307	96	11	30830
202307	96	34	102134
202307	96	25	143053
202307	96	4	161189
202307	96	15	21723
202307	96	14	55239
202307	96	16	32680
202307	96	29	45018
202307	204	15	16013
202307	204	20	87411
202307	204	25	136933
202307	204	33	86839
202307	204	17	26602
202307	204	4	162646
202307	204	19	161125
202307	204	34	38764
202307	204	39	81636
202307	204	29	73352
202307	204	16	20702
202307	204	3	60385
202307	204	32	40332
202307	204	9	17155
202307	204	30	61868
202307	204	13	71836
202307	204	21	78169
202307	204	12	30615
202307	204	7	158087
202307	204	8	62775
202307	204	2	72066
202307	204	1	10794
202307	204	31	28113
202307	204	40	17566
202307	204	37	15095
202307	204	5	20810
202307	204	36	90312
202307	204	14	49073
202307	204	11	22348
202307	204	6	89328
202307	204	28	36847
202307	204	23	30942
202307	204	35	39933
202307	204	27	140117
202307	204	18	79131
202307	204	10	123404
202307	204	38	87344
202307	204	22	138652
202307	204	26	52455
202307	204	24	83618
202307	148	35	11713
202307	148	10	60101
202307	148	23	9742
202307	148	22	75147
202307	148	38	52861
202307	148	24	83706
202307	148	8	62571
202307	148	4	88517
202307	148	18	41046
202307	148	39	68732
202307	148	2	35185
202307	148	14	52812
202307	148	11	22143
202307	148	40	18855
202307	148	31	11019
202307	148	12	19060
202307	148	36	39649
202307	148	16	33166
202307	148	34	65625
202307	148	19	63275
202307	148	29	61499
202307	148	1	7954
202307	148	3	65469
202307	148	13	53291
202307	148	28	29517
202307	148	37	17088
202307	148	26	67297
202307	148	9	23763
202307	148	30	64777
202307	148	6	84149
202307	148	15	17155
202307	148	25	59320
202307	148	27	90825
202307	148	32	11202
202307	148	33	20293
202307	148	17	27905
202307	148	7	102541
202307	148	5	23188
202307	148	21	92717
202307	148	20	44454
202307	228	22	57126
202307	228	20	50156
202307	228	8	97170
202307	228	36	56496
202307	228	5	16616
202307	228	21	81509
202307	228	25	39109
202307	228	35	19825
202307	228	32	14073
202307	228	11	26366
202307	228	33	40768
202307	228	4	61217
202307	228	27	52785
202307	228	19	86982
202307	228	31	20033
202307	228	24	43494
202307	228	2	37191
202307	228	9	22867
202307	228	23	9765
202307	228	12	20990
202307	228	3	46030
202307	228	16	30824
202307	228	15	5254
202307	228	10	66932
202307	228	38	26879
202307	228	7	81849
202307	228	1	7504
202307	228	30	84380
202307	228	6	90372
202307	228	13	25965
202307	228	26	31194
202307	228	18	29425
202307	228	34	39679
202307	228	37	7519
202307	228	39	66523
202307	228	14	39330
202307	228	29	39771
202307	228	28	29792
202307	228	17	22706
202307	228	40	12393
202307	256	37	23337
202307	256	9	22686
202307	256	11	29442
202307	256	5	30246
202307	256	36	90196
202307	256	15	15607
202307	256	21	60888
202307	256	12	29893
202307	256	18	79405
202307	256	20	90127
202307	256	6	105280
202307	256	22	130540
202307	256	10	113808
202307	256	27	85063
202307	256	26	70182
202307	256	23	20461
202307	256	13	41897
202307	256	2	98490
202307	256	38	105413
202307	256	29	56004
202307	256	4	154884
202307	256	24	93303
202307	256	1	8502
202307	256	35	24130
202307	256	7	164294
202307	256	33	80717
202307	256	31	25443
202307	256	39	70276
202307	256	34	57614
202307	256	19	114264
202307	256	14	53533
202307	256	40	15679
202307	256	25	169985
202307	256	3	69944
202307	256	8	71750
202307	256	32	43919
202307	256	17	27713
202307	256	28	32971
202307	256	16	23162
202307	256	30	127602
202307	32	31	28206
202307	32	13	43336
202307	32	16	31535
202307	32	8	111510
202307	32	37	22319
202307	32	17	23769
202307	32	39	88723
202307	32	15	16847
202307	32	11	29353
202307	32	18	128367
202307	32	21	128489
202307	32	3	68022
202307	32	27	86521
202307	32	23	22863
202307	32	26	95276
202307	32	20	61544
202307	32	22	149244
202307	32	14	87414
